shared_name	name	avg_shortest_path_length	clustering_coefficient	closeness_centrality	isSingleNode	partnerOfMultiEdgedNodePairs	selfLoops	eccentricity	stress	degree	betweenness_centrality	neighborhoodConnectivity	numberOfDirectedEdges	numberOfUndirectedEdges	radiality	topological coefficient
H3	H3	1.625	0.0	0.61538462	false	0	0	3	492	15	0.89130435	1.2	15	0	0.875	0.06666667
H4	H4	2.45833333	0.0952381	0.40677966	false	0	0	4	242	7	0.4384058	1.71428571	7	0	0.70833333	0.25714286
Bromodomain testis-specific protein	Bromodomain testis-specific protein	2.0	0.0	0.5	false	0	0	3	238	2	0.43115942	11.0	2	0	0.8	0.5
V(D)J recombination-activating protein 2	V(D)J recombination-activating protein 2	2.5	0.0	0.4	false	0	0	4	46	2	0.08333333	8.0	2	0	0.7	0.5
WD repeat-containing protein 5	WD repeat-containing protein 5	2.5	0.0	0.4	false	0	0	4	46	2	0.08333333	8.0	2	0	0.7	0.5
1A9D7 VH CH1 chain	1A9D7 VH CH1 chain	3.375	1.0	0.2962963	false	0	0	5	0	2	0.0	4.5	2	0	0.525	0.64285714
1A9D7 L chain	1A9D7 L chain	3.375	1.0	0.2962963	false	0	0	5	0	2	0.0	4.5	2	0	0.525	0.64285714
2A7D9 VH CH1 chain	2A7D9 VH CH1 chain	3.375	1.0	0.2962963	false	0	0	5	0	2	0.0	4.5	2	0	0.525	0.64285714
2A7D9 L chain	2A7D9 L chain	3.375	1.0	0.2962963	false	0	0	5	0	2	0.0	4.5	2	0	0.525	0.64285714
Pygopus homolog 1	Pygopus homolog 1	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Inhibitor of growth protein 2	Inhibitor of growth protein 2	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Chromobox protein homolog 7	Chromobox protein homolog 7	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
MORC family CW-type zinc finger protein 3	MORC family CW-type zinc finger protein 3	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
V(D)J recombination-activating protein 1	V(D)J recombination-activating protein 1	3.45833333	0.0	0.28915663	false	0	0	5	0	1	0.0	2.0	1	0	0.50833333	0.0
Lysine-specific demethylase 2A	Lysine-specific demethylase 2A	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Origin recognition complex subunit 1	Origin recognition complex subunit 1	3.41666667	0.0	0.29268293	false	0	0	5	0	1	0.0	7.0	1	0	0.51666667	0.0
Histone-lysine N-methyltransferase KMT5C	Histone-lysine N-methyltransferase KMT5C	3.41666667	0.0	0.29268293	false	0	0	5	0	1	0.0	7.0	1	0	0.51666667	0.0
Histone-lysine N-methyltransferase PRDM9	Histone-lysine N-methyltransferase PRDM9	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Zinc finger MYND domain-containing protein 11	Zinc finger MYND domain-containing protein 11	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
PHD finger protein 1	PHD finger protein 1	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Lysine-specific demethylase 6B	Lysine-specific demethylase 6B	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Chromobox protein homolog 1	Chromobox protein homolog 1	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Bromodomain-containing protein 4	Bromodomain-containing protein 4	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Chromobox protein homolog 5	Chromobox protein homolog 5	2.58333333	0.0	0.38709677	false	0	0	4	0	1	0.0	15.0	1	0	0.68333333	0.0
Retinoblastoma-binding protein 5	Retinoblastoma-binding protein 5	3.45833333	0.0	0.28915663	false	0	0	5	0	1	0.0	2.0	1	0	0.50833333	0.0
